연도,행정구역(읍면동),재배면적(ha),재배량(톤),데이터기준일
2021,한림읍,614,16460,2024-05-07 00:00:00
2021,애월읍,1406,38933,2024-05-07 00:00:00
2021,구좌읍,90,1822,2024-05-07 00:00:00
2021,조천읍,1792,42659,2024-05-07 00:00:00
2021,한경면,1090,23527,2024-05-07 00:00:00
2021,일도2동,0,7,2024-05-07 00:00:00
2021,이도2동,33,913,2024-05-07 00:00:00
2021,용담2동,6,127,2024-05-07 00:00:00
2021,건입동,7,152,2024-05-07 00:00:00
2021,화북동,132,2910,2024-05-07 00:00:00
2021,삼양동,286,6513,2024-05-07 00:00:00
2021,봉개동,402,8672,2024-05-07 00:00:00
2021,아라동,388,8564,2024-05-07 00:00:00
2021,오라동,77,2190,2024-05-07 00:00:00
2021,연동,4,57,2024-05-07 00:00:00
2021,노형동,242,4820,2024-05-07 00:00:00
2021,외도동,179,5037,2024-05-07 00:00:00
2021,이호동,24,485,2024-05-07 00:00:00
2021,도두동,0,0,2024-05-07 00:00:00
2022,한림읍,587,15768,2024-05-07 00:00:00
2022,애월읍,1539,45158,2024-05-07 00:00:00
2022,구좌읍,88,1915,2024-05-07 00:00:00
2022,조천읍,1712,50579,2024-05-07 00:00:00
2022,한경면,992,23496,2024-05-07 00:00:00
2022,일도2동,0,7,2024-05-07 00:00:00
2022,이도2동,34,945,2024-05-07 00:00:00
2022,용담2동,6,127,2024-05-07 00:00:00
2022,건입동,7,1152,2024-05-07 00:00:00
2022,화북동,133,3150,2024-05-07 00:00:00
2022,삼양동,288,7105,2024-05-07 00:00:00
2022,봉개동,399,6903,2024-05-07 00:00:00
2022,아라동,322,7050,2024-05-07 00:00:00
2022,오라동,101,2625,2024-05-07 00:00:00
2022,연동,4,57,2024-05-07 00:00:00
2022,노형동,235,5300,2024-05-07 00:00:00
2022,외도동,178,143,2024-05-07 00:00:00
2022,이호동,24,485,2024-05-07 00:00:00
2022,도두동,0,0,2024-05-07 00:00:00
2023,한림읍,626,16867,2024-05-07 00:00:00
2023,애월읍,1399,36586,2024-05-07 00:00:00
2023,구좌읍,90,2151,2024-05-07 00:00:00
2023,조천읍,1668,44143,2024-05-07 00:00:00
2023,한경면,1031,28910,2024-05-07 00:00:00
2023,일도2동,1,27,2024-05-07 00:00:00
2023,이도2동,34,726,2024-05-07 00:00:00
2023,용담2동,0,0,2024-05-07 00:00:00
2023,건입동,6,64,2024-05-07 00:00:00
2023,화북동,130,1478,2024-05-07 00:00:00
2023,삼양동,282,7378,2024-05-07 00:00:00
2023,봉개동,397,9069,2024-05-07 00:00:00
2023,아라동,349,8035,2024-05-07 00:00:00
2023,오라동,59,1207,2024-05-07 00:00:00
2023,연동,3,60,2024-05-07 00:00:00
2023,노형동,236,5297,2024-05-07 00:00:00
2023,외도동,208,3766,2024-05-07 00:00:00
2023,이호동,28,1099,2024-05-07 00:00:00
2023,도두동,19,707,2024-05-07 00:00:00
